freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,DOM,NR,I551,DE12	1921719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2334667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2814345 	: 	2872725 	3000049 	3131572 	3240419 	3400790 	3494150 	3570426 	1824623 	1872302 	3036037 	3539231 	3671027 	: 
A,DOM,NR,I551,DE13	2355636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2643213 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3072823 	: 	3127703 	3195985 	3324960 	3415325 	3515895 	3629093 	3772012 	2414454 	2522625 	3610701 	3875435 	3943756 	: 
A,DOM,NR,I551,DE14	1099852 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1351470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1665161 	: 	1731658 	1810709 	1873490 	1965088 	2010041 	2084781 	2091734 	1246080 	1284697 	1898910 	2112193 	2134993 	: 
A,DOM,NR,I551,DE2	12881972 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14939332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18459257 	: 	19226934 	19574926 	20448115 	21411758 	22277012 	23347635 	23988023 	13140261 	13079030 	21378141 	23615526 	24397719 	: 
A,DOM,NR,I551,DE21	5046849 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5921543 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7973865 	: 	8355144 	8538619 	8911344 	9317318 	9847161 	10400974 	10710174 	5501715 	5511890 	9556722 	10768399 	11342233 	: 
A,DOM,NR,I551,DE22	1267121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1707144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1897940 	: 	1954368 	1980105 	1978599 	2071122 	2134723 	2247808 	2360232 	1361674 	1266602 	1998070 	2134098 	2110347 	: 
A,DOM,NR,I551,DE23	841096 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1043084 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1189196 	: 	1216324 	1264695 	1316709 	1380493 	1408570 	1425803 	1480419 	873581 	864858 	1331564 	1464943 	1472973 	: 
A,DOM,NR,I551,DE24	1248643 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1209278 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1281120 	: 	1307932 	1295383 	1377300 	1482629 	1492666 	1528850 	1585154 	930258 	936859 	1431873 	1562914 	1576393 	: 
A,DOM,NR,I551,DE25	1462096 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1755119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2144749 	: 	2211287 	2250489 	2351457 	2444705 	2493506 	2655085 	2687585 	1353399 	1422567 	2417095 	2661483 	2752745 	: 
A,DOM,NR,I551,DE26	1382823 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1457577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1661072 	: 	1708656 	1751304 	1848108 	1923534 	2015569 	2078783 	2084876 	1150010 	1191137 	1781214 	1974796 	2009810 	: 
A,DOM,NR,I551,DE27	1633344 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1845587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2311315 	: 	2473223 	2494331 	2664598 	2791957 	2884817 	3010332 	3079583 	1969624 	1885117 	2861603 	3048893 	3133218 	: 
A,DOM,NR,I551,DE3	1966215 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3571172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5609351 	: 	6274120 	6517874 	6668374 	6890961 	7053199 	7243705 	7577887 	3266789 	3469319 	6149379 	6836230 	6967274 	: 
A,DOM,NR,I551,DE30	1966215 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3571172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5609351 	: 	6274120 	6517874 	6668374 	6890961 	7053199 	7243705 	7577887 	3266789 	3469319 	6149379 	6836230 	6967274 	: 
A,DOM,NR,I551,DE4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2215499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2523009 	: 	2596274 	2685562 	2803434 	2861778 	2962694 	2994822 	3097110 	1922978 	1854054 	2786485 	3027150 	3131028 	: 
A,DOM,NR,I551,DE40	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2215499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2523009 	: 	2596274 	2685562 	2803434 	2861778 	2962694 	2994822 	3097110 	1922978 	1854054 	2786485 	3027150 	3131028 	: 
A,DOM,NR,I551,DE5	373884 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	556714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	816199 	: 	846603 	903964 	938609 	966971 	1001353 	1066797 	1152803 	574637 	635920 	1027875 	1119556 	1155284 	: 
A,DOM,NR,I551,DE50	373884 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	556714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	816199 	: 	846603 	903964 	938609 	966971 	1001353 	1066797 	1152803 	574637 	635920 	1027875 	1119556 	1155284 	: 
A,DOM,NR,I551,DE6	1363752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1946623 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3971162 	: 	4331835 	4354225 	4519677 	4715149 	4825270 	5130298 	5507106 	2492215 	2607294 	5093103 	5469189 	5472466 	: 
A,DOM,NR,I551,DE60	1363752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1946623 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3971162 	: 	4331835 	4354225 	4519677 	4715149 	4825270 	5130298 	5507106 	2492215 	2607294 	5093103 	5469189 	5472466 	: 
A,DOM,NR,I551,DE7	4861776 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5911866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7530484 	: 	8058623 	8454704 	8767120 	8901787 	9445427 	9617427 	9916837 	4641802 	4595364 	8341883 	9738081 	10069809 	: 
A,DOM,NR,I551,DE71	2917464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3898018 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5103983 	: 	5511979 	5812262 	6066457 	6153912 	6555372 	6764724 	6960394 	3026461 	2992638 	5808925 	6965551 	7298218 	: 
